code,isbn,title,author,
CAP3020,9781466598645,"THE ART OF GAME DESIGN: A BOOK OF LENSES, SECOND EDITION",JESSE SCHELL,
CAP3034,N/A,,,
CAP4136,N/A,,,
CAP4613,9780262035613,Deep Learning,Ian Goodfellow and Yoshua Bengio and Aaron Courville,
CAP4730,N/A,,,
CAP4770,N/A,,,
CAP5100,N/A,,,
CAP5108,9780128053904,Research Methods in Human-Computer Interaction,"Lazar, Feng, & Hochheiser",
CAP6137,9781593272906,PRACTICAL MALWARE ANALYSIS,MICHAEL SIKORSKI AND ANDREW HONIG,
CAP6137,1457122324,MALWARE ANALYST’S COOKBOOK AND DVD,"M. LIGH, S. ADAIR, B. HARTSTEIN, M. RICHARD",
CAP6610,9780262035613,DEEP LEARNING,IAN GOODFELLOW,
CAP6610,387310738,PATTERN RECOGNITION AND MACHINE LEARNING,CHRISTOPHER M. BISHOP,
CAP6610,9780262018029,MACHINE LEARNING: A PROBABILISTIC PERSPECTIVE,KEVIN P. MURPHY,
CAP6615,N/A,,,
CDA3101,9780128017333,COMPUTER ORGANIZATION AND DESIGN,"PATTERSON, HENNESSY",
CEN3031,N/A,,,
CEN4072,N/A,,,
CEN4721,N/A,,,
CEN4722,N/A,,,
CEN4914,N/A,,,
CEN5035,N/A,,,
CEN6070,N/A,,,
CGS3065,N/A,,,
CIS4213,N/A,,,
CIS4301,N/A,,,
CIS4360,N/A,,,
CIS4715,N/A,,,
CIS4905,N/A,,,
CIS4914,N/A,,,
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Net Analytics & ML
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Software Security
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Mobile Computing
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Intro to Comp Prog
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Digital Health
CIS4930,N/A,,,CIS4930 - Special Topics in CISE: Probability in CS
CIS4930,9781492032649,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent System",Aurélien Géron,CIS4930 - Special Topics in CISE: Applied ML
CIS4930,9789332585492,Computer Networking: A Top-Down Approach,KUROSE,CIS4930 - Special Topics in CISE: Internet Network Tech
CIS4940,N/A,,,
CIS5370,N/A,,,
CIS5371,N/A,,,
CIS6905,N/A,,,
CIS6910,N/A,,,
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: Hum-Cen Reco Alg
CIS6930,9781492032649,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,CIS6930 - Special Topics in CIS: Applied ML
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: Digital Health
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: Net Analytics & ML
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: ML in Genomics
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: Probability for CS
CIS6930,N/A,,,CIS6930 - Special Topics in CIS: Blockchain
CIS6935,N/A,,,
CIS6940,N/A,,,
CIS6971,N/A,,,
CIS7979,N/A,,,
CIS7980,N/A,,,
CNT4007,9780133594140,COMPUTER NETWORKING: A TOP-DOWN APPROACH,"JAMES KUROSE, KEITH ROSS",
CNT5106C,N/A,,,
CNT5517,N/A,,,
CNT6107,130661023,COMPUTER NETWORKS,	A. TANENBAUM,
COP3502C,9798203913258,PROGRAMMING IN JAVA WITH ZYLABS,"ROMAN LYSECKY, ADRIAN LIZARRAGA",
COP3503C,N/A,,,
COP3530,9780132847377,DATA STRUCTURES & ALGORITHM ANALYSIS IN C++,WEISS,
COP4020,N/A,,,
COP4533,N/A,,,
COP4600,N/A,,,
COP4720,N/A,,,
COP6726,N/A,,,
COT3100,N/A,,,
COT4501,N/A,,,
COT5405,N/A,,,
COT5615,N/A,,,
EGN4912,N/A,,,
EGN5949,N/A,,,