num,code,name,inst,loc,day,period,final
11374,CAP3020,Theory and Practice of Multimedia Production,Joshua Fox,NRG 0205,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11374,CAP3020,Theory and Practice of Multimedia Production,Joshua Fox,NRG 0205,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11398,CAP3034,Introduction to Computer Aided Animation,Rong Zhang,CSE E231,MWF,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
0,CAP4136,Malware Reverse Engineering,STAFF,TBA,MWF,10:40,11:30,--
31264,CAP4613,Deep Learning for Computer Graphics,Corey Toler-Franklin,NSC 0215,MWF,11:45,12:35,--
11402,CAP4730,Computational Structures in Computer Graphics,Alireza Entezari,NZH 0112,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP4730,Computational Structures in Computer Graphics,Alireza Entezari,NZH 0112,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
23937,CAP4770,Introduction to Data Science,Jorg Peters,CSE E222,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
0,CAP4770,Introduction to Data Science,Jorg Peters,CSE E222,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
0,CAP5100,Human Computer Interaction,Sharon Chuyew Yee,CSE E222,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP5100,Human Computer Interaction,Sharon Chuyew Yee,CSE E222,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP5108,Research Methods for Human Centered Computing,Kristy Boyer,CSE E119,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CAP5108,Research Methods for Human Centered Computing,Kristy Boyer,CSE E119,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CAP6137,Malware Reverse Engineering,Joseph Wilson,PUGH 120,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP6610,Machine Learning,Kejun Huang,CSE E119,T,15:0,16:55,4/28/2022 @ 10:00 AM - 12:00 PM
0,CAP6610,Machine Learning,Kejun Huang,CSE E119,R,16:5,16:55,4/28/2022 @ 10:00 AM - 12:00 PM
0,CAP6615,Neural Networks for Computing,Mark Schmalz,FLG 0270,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
0,CAP6615,Neural Networks for Computing,Mark Schmalz,FLG 0270,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11573,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11573,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11573,CDA3101,Introduction to Computer Organization,Prabhat Mishra,LIT 0235,W,9:35,10:25,4/28/2022 @ 5:30 PM - 7:30 PM
11574,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11574,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11574,CDA3101,Introduction to Computer Organization,Prabhat Mishra,LIT 0233,W,10:40,11:30,4/28/2022 @ 5:30 PM - 7:30 PM
11600,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11600,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11600,CDA3101,Introduction to Computer Organization,Prabhat Mishra,MAT 0003,W,13:55,14:45,4/28/2022 @ 5:30 PM - 7:30 PM
23720,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23720,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23720,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CHE 0316,W,9:35,10:25,4/28/2022 @ 5:30 PM - 7:30 PM
23721,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23721,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23721,CDA3101,Introduction to Computer Organization,Prabhat Mishra,FLI 0101,W,10:40,11:30,4/28/2022 @ 5:30 PM - 7:30 PM
23723,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23723,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23723,CDA3101,Introduction to Computer Organization,Prabhat Mishra,ARCH 0215,W,13:55,14:45,4/28/2022 @ 5:30 PM - 7:30 PM
23724,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23724,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23724,CDA3101,Introduction to Computer Organization,Prabhat Mishra,BEN 0328,W,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23725,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23725,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23725,CDA3101,Introduction to Computer Organization,Prabhat Mishra,MCCB G108,W,12:50,13:40,4/28/2022 @ 5:30 PM - 7:30 PM
23726,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23726,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23726,CDA3101,Introduction to Computer Organization,Prabhat Mishra,WM 0202,W,13:55,14:45,4/28/2022 @ 5:30 PM - 7:30 PM
23727,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23727,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
23727,CDA3101,Introduction to Computer Organization,Prabhat Mishra,WM 0202,W,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
29862,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
29862,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
29862,CDA3101,Introduction to Computer Organization,Prabhat Mishra,WM 0202,W,8:30,9:20,4/28/2022 @ 5:30 PM - 7:30 PM
29863,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
29863,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CAR 0100,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
29863,CDA3101,Introduction to Computer Organization,Prabhat Mishra,CSE E116,W,9:35,10:25,4/28/2022 @ 5:30 PM - 7:30 PM
11331,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11331,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,11:45,12:35,4/28/2022 @ 7:30 AM - 9:30 AM
11332,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11332,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,8:30,9:20,4/28/2022 @ 7:30 AM - 9:30 AM
24168,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24168,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,10:40,11:30,4/28/2022 @ 7:30 AM - 9:30 AM
24172,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24172,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,16:5,16:55,4/28/2022 @ 7:30 AM - 9:30 AM
24173,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24173,CEN3031,Introduction to Software Engineering,Sanethia Thomas,FLI 0121,T,9:35,10:25,4/28/2022 @ 7:30 AM - 9:30 AM
24174,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24174,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,11:45,12:35,4/28/2022 @ 7:30 AM - 9:30 AM
24175,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24175,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,12:50,13:40,4/28/2022 @ 7:30 AM - 9:30 AM
24177,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24177,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,13:55,14:45,4/28/2022 @ 7:30 AM - 9:30 AM
24178,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24178,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MCCA 2186,T,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24180,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24180,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,16:5,16:55,4/28/2022 @ 7:30 AM - 9:30 AM
24181,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24181,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,17:10,18:0,4/28/2022 @ 7:30 AM - 9:30 AM
24182,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24182,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,18:15,19:5,4/28/2022 @ 7:30 AM - 9:30 AM
24183,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24183,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,19:20,20:10,4/28/2022 @ 7:30 AM - 9:30 AM
24184,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
24184,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,8:30,9:20,4/28/2022 @ 7:30 AM - 9:30 AM
29870,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
29870,CEN3031,Introduction to Software Engineering,Sanethia Thomas,MAT 0151,T,9:35,10:25,4/28/2022 @ 7:30 AM - 9:30 AM
29871,CEN3031,Introduction to Software Engineering,Sanethia Thomas,NPB 1001,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
29871,CEN3031,Introduction to Software Engineering,Sanethia Thomas,UST 0108,T,10:40,11:30,4/28/2022 @ 7:30 AM - 9:30 AM
30481,CEN4072,Software Testing and Verification,Stephen Thebaut,CSE E221,MWF,12:50,13:40,4/27/2022 @ 3:00 PM - 5:00 PM
0,CEN4072,Software Testing and Verification,Stephen Thebaut,CSE E221,MWF,12:50,13:40,--
0,CEN4721,Human Computer Interaction,Eric Ragan,MCCB G086,MWF,10:40,11:30,4/28/2022 @ 5:30 PM - 7:30 PM
11271,CEN4721,Human Computer Interaction,Eric Ragan,MCCB G086,MWF,10:40,11:30,4/28/2022 @ 5:30 PM - 7:30 PM
24410,CEN4722,User Experience Design,Sanethia Thomas,CSE E221,T,13:55,14:45,4/27/2022 @ 7:30 AM - 9:30 AM
24410,CEN4722,User Experience Design,Sanethia Thomas,CSE E221,R,13:55,15:50,4/27/2022 @ 7:30 AM - 9:30 AM
0,CEN4722,User Experience Design,Sanethia Thomas,CSE E221,T,13:55,14:45,4/27/2022 @ 7:30 AM - 9:30 AM
0,CEN4722,User Experience Design,Sanethia Thomas,CSE E221,R,13:55,15:50,4/27/2022 @ 7:30 AM - 9:30 AM
0,CEN5035,Software Engineering,Alin Dobra,FLG 0260,MWF,11:45,12:35,4/28/2022 @ 10:00 AM - 12:00 PM
0,CEN5035,Software Engineering,Alin Dobra,FLG 0260,MWF,11:45,12:35,4/28/2022 @ 10:00 AM - 12:00 PM
0,CEN6070,Software Testing and Verification,Stephen Thebaut,CSE E220,MWF,8:30,9:20,--
11130,CGS3065,Legal and Social Issues in Computing,STAFF,NZH 0112,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
11130,CGS3065,Legal and Social Issues in Computing,STAFF,TUR 2319,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
31183,CIS4213,Enterprise Security,Cheryl Resch,CSE E309,T,13:55,14:45,4/27/2022 @ 12:30 PM - 2:30 PM
31183,CIS4213,Enterprise Security,Cheryl Resch,CSE E119,R,13:55,15:50,4/27/2022 @ 12:30 PM - 2:30 PM
0,CIS4301,Information and Database Systems 1,Markus Schneider,TUR L007,MWF,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
11031,CIS4301,Information and Database Systems 1,Markus Schneider,TUR L007,MWF,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
31156,CIS4360,Computer and Information Security,Sara Rampazzi,CSE E121,T,13:55,14:45,4/27/2022 @ 12:30 PM - 2:30 PM
31156,CIS4360,Computer and Information Security,Sara Rampazzi,CSE A101,R,13:55,15:50,4/27/2022 @ 12:30 PM - 2:30 PM
0,CIS4930,Net Analytics   ML,Ahmed Helmy,NRN 1020,T,8:30,10:25,--
0,CIS4930,Net Analytics   ML,Ahmed Helmy,NRN 1020,T,10:40,11:30,--
0,CIS4930,Software Security,Byron Williams,MCCA G186,T,8:30,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
0,CIS4930,Software Security,Byron Williams,MCCA G186,R,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
0,CIS4930,Intro to Comp Prog,Rong Zhang,TBA,MW,10:40,11:30,--
0,CIS4930,Intro to Comp Prog,Rong Zhang,NSC 0215,F,10:40,11:30,--
0,CIS4930,Digital Health,Abdelsalam Helal,CSE A101,T,15:0,16:55,--
0,CIS4930,Digital Health,Abdelsalam Helal,FLG 0230,R,16:5,16:55,--
0,CIS4930,Probability in CS,Ye Xia,RNK 0110,T,15:0,16:55,4/27/2022 @ 5:30 PM - 7:30 PM
0,CIS4930,Probability in CS,Ye Xia,RNK 0110,R,15:0,15:50,4/27/2022 @ 5:30 PM - 7:30 PM
0,CIS4930,Mobile Computing,Abdelsalam Helal,LIT 0121,T,8:30,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
0,CIS4930,Mobile Computing,Abdelsalam Helal,MAT 0018,R,9:35,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
0,CIS4930,Applied ML,Vincent Bindschaedler,CSE E121,T,15:0,16:55,4/26/2022 @ 12:30 PM - 2:30 PM
0,CIS4930,Applied ML,Vincent Bindschaedler,CSE E121,R,16:5,16:55,4/26/2022 @ 12:30 PM - 2:30 PM
0,CIS4930,Internet Network Tech,Jonathan Kavalan,CSE E309,MWF,10:40,11:30,4/27/2022 @ 3:00 PM - 5:00 PM
0,CIS5370,Computer and Information Security,Kevin Butler,CSE E221,T,15:0,16:55,4/27/2022 @ 7:30 AM - 9:30 AM
0,CIS5370,Computer and Information Security,Kevin Butler,CSE E221,R,16:5,16:55,4/27/2022 @ 7:30 AM - 9:30 AM
0,CIS5371,Introduction to Cryptology,Thomas Shrimpton,CSE E121,T,10:40,11:30,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS5371,Introduction to Cryptology,Thomas Shrimpton,CSE E121,R,10:40,12:35,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS5371,Introduction to Cryptology,Thomas Shrimpton,CSE E121,T,10:40,11:30,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS5371,Introduction to Cryptology,Thomas Shrimpton,CSE E121,R,10:40,12:35,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS6930,Hum Cen Reco Alg,Lisa Anthony,CSE E220,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CIS6930,Hum Cen Reco Alg,Lisa Anthony,CSE E220,R,10:40,12:35,4/25/2022 @ 10:00 AM - 12:00 PM
0,CIS6930,Digital Health,Abdelsalam Helal,CSE A101,T,15:0,16:55,--
0,CIS6930,Digital Health,Abdelsalam Helal,FLG 0230,R,16:5,16:55,--
0,CIS6930,Net Analytics   ML,Ahmed Helmy,NRN 1020,T,8:30,10:25,--
0,CIS6930,Net Analytics   ML,Ahmed Helmy,NRN 1020,T,10:40,11:30,--
0,CIS6930,Applied ML,Vincent Bindschaedler,CSE E121,T,15:0,16:55,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS6930,Applied ML,Vincent Bindschaedler,CSE E121,R,16:5,16:55,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS6930,ML in Genomics,Kiley Graim,CSE E220,T,10:40,11:30,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS6930,ML in Genomics,Kiley Graim,CSE E221,R,10:40,12:35,4/29/2022 @ 7:30 AM - 9:30 AM
0,CIS6930,Probability for CS,Ye Xia,RNK 0110,T,15:0,16:55,--
0,CIS6930,Probability for CS,Ye Xia,RNK 0110,R,15:0,15:50,--
0,CIS6930,Blockchain,My Thai,LAR 0310,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CIS6930,Blockchain,My Thai,LIT 0113,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CNT4007,Computer Network Fundamentals,Shigang Chen,MCCC 0100,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CNT4007,Computer Network Fundamentals,Shigang Chen,MCCC 0100,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
11071,CNT4007,Computer Network Fundamentals,Shigang Chen,MCCC 0100,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
11071,CNT4007,Computer Network Fundamentals,Shigang Chen,MCCC 0100,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CNT5106C,Computer Networks,Ahmed Helmy,CSE E220,T,15:0,16:55,4/29/2022 @ 7:30 AM - 9:30 AM
0,CNT5106C,Computer Networks,Ahmed Helmy,CSE E220,R,16:5,16:55,4/29/2022 @ 7:30 AM - 9:30 AM
0,CNT5517,Mobile Computing,Abdelsalam Helal,LIT 0121,T,8:30,10:25,--
0,CNT5517,Mobile Computing,Abdelsalam Helal,MAT 0018,R,9:35,10:25,--
0,CNT6107,Advanced Computer Networks,Jonathan Kavalan,CSE E312,MWF,13:55,14:45,--
10849,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10849,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
10850,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10850,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,8:30,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
10853,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10853,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
10854,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10854,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,15:0,16:55,4/27/2022 @ 3:00 PM - 5:00 PM
10855,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10855,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
10880,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
