num,code,name,inst,loc,day,period,final
10880,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,8:30,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
10881,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10881,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
10882,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10882,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
10883,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
10883,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
11145,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11145,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
11156,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11156,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,12:50,13:40,4/27/2022 @ 3:00 PM - 5:00 PM
11157,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11157,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,15:0,16:55,4/27/2022 @ 3:00 PM - 5:00 PM
11158,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11158,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
11159,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11159,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
11160,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11160,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,M,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
19612,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
19612,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
24993,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
24993,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
24995,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
24995,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
26297,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26297,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,M,9:35,11:30,4/27/2022 @ 3:00 PM - 5:00 PM
26310,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26310,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,M,11:45,13:40,4/27/2022 @ 3:00 PM - 5:00 PM
26313,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26313,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,M,13:55,15:50,4/27/2022 @ 3:00 PM - 5:00 PM
26314,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26314,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,16:5,18:0,4/27/2022 @ 3:00 PM - 5:00 PM
26316,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26316,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,18:15,20:10,4/27/2022 @ 3:00 PM - 5:00 PM
26317,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26317,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,20:20,22:10,4/27/2022 @ 3:00 PM - 5:00 PM
26319,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26319,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,8:30,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
26320,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26320,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,T,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
26321,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26321,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
26323,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26323,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,15:0,16:55,4/27/2022 @ 3:00 PM - 5:00 PM
26324,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26324,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
10884,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10884,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,F,8:30,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
10900,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10900,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,R,15:0,16:55,4/25/2022 @ 3:00 PM - 5:00 PM
10901,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10901,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10902,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10902,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,F,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
10903,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10903,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E312,R,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
10904,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10904,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,R,12:50,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
10905,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10905,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E312,R,15:0,16:55,4/25/2022 @ 3:00 PM - 5:00 PM
10906,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10906,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E309,R,15:0,16:55,4/25/2022 @ 3:00 PM - 5:00 PM
10947,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10947,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E309,R,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
10948,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10948,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E116,R,12:50,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
10949,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10949,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E312,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10950,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10950,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E116,R,8:30,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
10952,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10952,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E312,R,8:30,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
10953,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10953,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,F,12:50,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
11017,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
11017,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E312,R,12:50,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
25088,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
25088,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,R,8:30,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
25109,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
25109,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E116,R,15:0,16:55,4/25/2022 @ 3:00 PM - 5:00 PM
25162,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
25162,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E116,R,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
25164,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
25164,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E116,R,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
28532,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28532,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,R,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
28566,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28566,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
28596,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28596,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,R,15:0,16:55,4/25/2022 @ 3:00 PM - 5:00 PM
28604,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28604,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,R,10:40,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
28680,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28680,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E113,R,8:30,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
28742,COP3503C,Programming Fundamentals 2,Cheryl Resch,CAR 0100,MWF,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
28742,COP3503C,Programming Fundamentals 2,Cheryl Resch,CSE E115,R,12:50,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
10976,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
10976,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,CSE E220,T,13:55,14:45,4/28/2022 @ 7:30 AM - 9:30 AM
10977,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
10977,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,CSE E220,T,17:10,18:0,4/28/2022 @ 7:30 AM - 9:30 AM
11021,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11021,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,FAC 0120,T,9:35,10:25,4/28/2022 @ 7:30 AM - 9:30 AM
11022,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11022,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,CSE E221,T,10:40,11:30,4/28/2022 @ 7:30 AM - 9:30 AM
11023,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11023,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,CSE E221,T,11:45,12:35,4/28/2022 @ 7:30 AM - 9:30 AM
11024,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,TUR L007,MWF,15:0,15:50,4/28/2022 @ 7:30 AM - 9:30 AM
11024,COP3530,Data Structures and Algorithm,Amanpreet Kapoor,CSE E221,T,12:50,13:40,4/28/2022 @ 7:30 AM - 9:30 AM
0,COP4020,Programming Language Concepts,Beverly Sanders,MCCC 0100,MWF,12:50,13:40,4/27/2022 @ 12:30 PM - 2:30 PM
10979,COP4020,Programming Language Concepts,Beverly Sanders,MCCC 0100,MWF,12:50,13:40,4/27/2022 @ 12:30 PM - 2:30 PM
31341,COP4533,Algorithm Abstraction and Design,Alper Ungor,TBA,T,10:40,11:30,--
31341,COP4533,Algorithm Abstraction and Design,Alper Ungor,TBA,R,10:40,12:35,--
10923,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10923,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10923,COP4600,Operating Systems,Alexandre Gomes de Siqueira,LIT 0109,W,9:35,10:25,4/25/2022 @ 3:00 PM - 5:00 PM
10924,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10924,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10924,COP4600,Operating Systems,Alexandre Gomes de Siqueira,ROL 0205,W,10:40,11:30,4/25/2022 @ 3:00 PM - 5:00 PM
10925,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10925,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10925,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L005,W,11:45,12:35,4/25/2022 @ 3:00 PM - 5:00 PM
10926,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10926,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10926,COP4600,Operating Systems,Alexandre Gomes de Siqueira,ARCH 0423,W,12:50,13:40,4/25/2022 @ 3:00 PM - 5:00 PM
10927,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10927,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10927,COP4600,Operating Systems,Alexandre Gomes de Siqueira,FAC 0127,W,13:55,14:45,4/25/2022 @ 3:00 PM - 5:00 PM
10929,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,T,17:10,18:0,4/25/2022 @ 3:00 PM - 5:00 PM
10929,COP4600,Operating Systems,Alexandre Gomes de Siqueira,TUR L007,R,17:10,19:5,4/25/2022 @ 3:00 PM - 5:00 PM
10929,COP4600,Operating Systems,Alexandre Gomes de Siqueira,CSE E222,W,15:0,15:50,4/25/2022 @ 3:00 PM - 5:00 PM
31180,COP4720,Information and Database Systems 2,Tamer Kahveci,TBA,MWF,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
0,COP6726,Database System Implementation,Alin Dobra,CSE E222,MWF,13:55,14:45,--
12178,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12178,COT3100,Applications of Discrete Structures,Peter Dobbins,BAR 0211,T,8:30,9:20,4/29/2022 @ 10:00 AM - 12:00 PM
12179,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12179,COT3100,Applications of Discrete Structures,Peter Dobbins,TUR 2319,T,9:35,10:25,4/29/2022 @ 10:00 AM - 12:00 PM
12180,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12180,COT3100,Applications of Discrete Structures,Peter Dobbins,TUR 2319,T,10:40,11:30,4/29/2022 @ 10:00 AM - 12:00 PM
12204,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12204,COT3100,Applications of Discrete Structures,Peter Dobbins,CSE E121,T,11:45,12:35,4/29/2022 @ 10:00 AM - 12:00 PM
12205,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12205,COT3100,Applications of Discrete Structures,Peter Dobbins,LAR 0330,T,12:50,13:40,4/29/2022 @ 10:00 AM - 12:00 PM
12206,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12206,COT3100,Applications of Discrete Structures,Peter Dobbins,CSE E119,T,13:55,14:45,4/29/2022 @ 10:00 AM - 12:00 PM
12207,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
12207,COT3100,Applications of Discrete Structures,Peter Dobbins,CSE E222,T,15:0,15:50,4/29/2022 @ 10:00 AM - 12:00 PM
0,COT3100,Applications of Discrete Structures,Peter Dobbins,CAR 0100,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
0,COT3100,Applications of Discrete Structures,Peter Dobbins,TBA,T,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
25150,COT4501,Numerical Analysis  a Computational Approach,James Fairbanks,PUGH 170,T,10:40,11:30,4/29/2022 @ 7:30 AM - 9:30 AM
25150,COT4501,Numerical Analysis  a Computational Approach,James Fairbanks,PUGH 170,R,10:40,12:35,4/29/2022 @ 7:30 AM - 9:30 AM
0,COT4501,Numerical Analysis  a Computational Approach,James Fairbanks,PUGH 170,T,10:40,11:30,4/29/2022 @ 7:30 AM - 9:30 AM
0,COT4501,Numerical Analysis  a Computational Approach,James Fairbanks,PUGH 170,R,10:40,12:35,4/29/2022 @ 7:30 AM - 9:30 AM
0,COT5405,Analysis of Algorithms,Alper Ungor,PUGH 170,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,COT5405,Analysis of Algorithms,Alper Ungor,PUGH 170,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,COT5405,Analysis of Algorithms,Alper Ungor,PUGH 170,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,COT5405,Analysis of Algorithms,Alper Ungor,PUGH 170,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,COT5615,Mathematics for Intelligent Systems,Anand Rangarajan,CSE E113,MWF,13:55,14:45,4/28/2022 @ 12:30 PM - 2:30 PM
